;operation_time;symbol;operation_type;position;coin_amount;price;fee;comission;comission_fee;after_comission_calculated_coin_amount;total_cash;stop_price;sell_price;explanation
0;2021-01-01 06:35:00;btcusdt;Buy;Short;0.03421;29230.01;999.9586420999999;3.421e-05;0.9999586421;0.03417579;999.0000413578999;29344.439735028398;29058.365397457397;
1;2021-01-01 06:40:00;btcusdt;Buy;Short;0.03417579;29058.365397457397;999.9586420999999;3.417579e-05;0.9930925935667705;0.03414161421;1004.7384734508049;-;-;Profit!
2;2021-01-01 08:00:00;btcusdt;Buy;Long;0.03442;29187.01;1004.6168842;3.442e-05;1.0046168841999998;0.03438558;1003.7338565666049;29093.31403527491;29327.553947087632;
3;2021-01-01 08:50:00;btcusdt;Buy;Long;0.03438558;29093.31403527491;999.3900867478433;3.438558e-05;1.0003904772250682;0.03435119442;999.5116759986482;-;-;Loss!
4;2021-01-01 09:05:00;btcusdt;Buy;Long;0.03427;29168.0;999.5873600000001;3.427e-05;0.99958736;0.03423573;998.5120886386482;29080.77668142056;29298.83497786916;
5;2021-01-01 09:05:00;btcusdt;Buy;Long;0.03423573;29080.77668142056;994.6060170367549;3.423573e-05;0.9956016186554102;0.03420149427;994.530333035403;-;-;Loss!
6;2021-01-01 09:50:00;btcusdt;Buy;Long;0.03423;29057.91;994.6522592999999;3.4229999999999996e-05;0.9946522592999999;0.03419576999999999;993.5356807761029;28952.771305354723;29215.618041967915;
7;2021-01-01 10:15:00;btcusdt;Buy;Long;0.03419576999999999;28952.771305354723;989.0722461120891;3.419576999999999e-05;0.9900623084205097;0.03416157422999999;988.9503198474923;-;-;Loss!
8;2021-01-01 10:35:00;btcusdt;Buy;Long;0.03398;29100.0;988.8180000000001;3.398e-05;0.9888180000000001;0.03394602;987.9615018474923;28989.840911645977;29265.238632531036;
9;2021-01-01 10:40:00;btcusdt;Buy;Long;0.03394602;28989.840911645977;983.105629664169;3.394602e-05;0.9840897193835525;0.03391207398;983.2379495116612;-;-;Loss!
10;2021-01-01 12:35:00;btcusdt;Buy;Short;0.03365;29223.76;983.379524;3.365e-05;0.9833795239999998;0.033616349999999996;982.2545699876611;29323.940435010525;29073.48934748421;
11;2021-01-01 13:05:00;btcusdt;Sell;Short;0.033616349999999996;29323.940435010525;983.379524;3.3616349999999995e-05;0.985763845042466;0.033582733649999995;978.6467057884281;-;-;Loss!
12;2021-01-01 13:40:00;btcusdt;Buy;Short;0.03341;29289.93;978.5765613000001;3.341e-05;0.9785765613;0.033376590000000005;977.6681292271281;29389.936406167522;29139.920390748717;
13;2021-01-01 14:20:00;btcusdt;Sell;Short;0.033376590000000005;29389.936406167522;978.5765613000001;3.337659000000001e-05;0.9809358575547271;0.03334321341;974.0895115339173;-;-;Loss!
14;2021-01-01 14:55:00;btcusdt;Buy;Short;0.03339;29170.7;974.0096730000001;3.3390000000000004e-05;0.9740096730000002;0.03335661;973.1155018609172;29305.33544926798;28968.74682609803;
15;2021-01-01 15:00:00;btcusdt;Sell;Short;0.03335661;29305.33544926798;974.0096730000001;3.3356610000000006e-05;0.9775266455004069;0.03332325339;968.3859215030172;-;-;Loss!
16;2021-01-01 16:25:00;btcusdt;Buy;Short;0.03291;29424.2;968.3504220000001;3.291e-05;0.9683504220000001;0.032877090000000005;967.4175710810173;29535.07583865097;29257.886242023545;
17;2021-01-01 17:00:00;btcusdt;Buy;Short;0.032877090000000005;29257.886242023545;968.3504220000001;3.2877090000000003e-05;0.96191415918877;0.032844212910000004;972.6348138911915;-;-;Profit!
18;2021-01-01 18:20:00;btcusdt;Buy;Long;0.03324;29262.92;972.6994607999999;3.324e-05;0.9726994607999999;0.03320676;971.6621144303916;29145.45025045713;29439.124624314303;
19;2021-01-01 19:35:00;btcusdt;Buy;Long;0.03320676;29145.45025045713;966.8581455873109;3.320676e-05;0.9678259715588697;0.03317355324;966.7934986785025;-;-;Loss!
20;2021-01-01 20:15:00;btcusdt;Buy;Long;0.03309;29221.13;966.9271917000001;3.309e-05;0.9669271917000001;0.03305691;965.8265714868024;29096.887361735357;29407.493957396968;
21;2021-01-01 20:20:00;btcusdt;Buy;Long;0.03305691;29096.887361735357;960.8913336102261;3.305691e-05;0.9618531867970231;0.03302385309;960.7576405887285;-;-;Loss!
22;2021-01-01 21:20:00;btcusdt;Buy;Long;0.03301;29105.36;960.7679336;3.301e-05;0.9607679335999999;0.03297699;959.7968726551284;28939.2862456346;29354.4706315481;
23;2021-01-01 22:00:00;btcusdt;Buy;Long;0.03297699;28939.2862456346;953.3762225763002;3.297699e-05;0.9543305531294297;0.032944013009999995;953.3659295650286;-;-;Loss!
24;2021-01-01 23:50:00;btcusdt;Buy;Short;0.03268;29170.3;953.285404;3.268e-05;0.953285404;0.03264732;952.4126441610287;29259.743836618123;29036.13424507281;
25;2021-01-02 00:15:00;btcusdt;Sell;Short;0.03264732;29259.743836618123;953.285404;3.264732e-05;0.9552522201520997;0.03261467268;949.2523768731518;-;-;Loss!
26;2021-01-02 01:10:00;btcusdt;Buy;Short;0.03242;29276.84;949.1551527999999;3.242e-05;0.9491551528;0.03238758;948.3032217203519;29352.844075061585;29162.83388740762;
27;2021-01-02 02:15:00;btcusdt;Buy;Short;0.03238758;29162.83388740762;949.1551527999999;3.238758e-05;0.9445136155551254;0.03235519242;951.7479377636678;-;-;Profit!
28;2021-01-02 03:20:00;btcusdt;Buy;Long;0.03256;29230.0;951.7288;3.256e-05;0.9517288;0.03252744;950.7962089636677;29124.845953636912;29387.731069544632;
29;2021-01-02 03:45:00;btcusdt;Sell;Long;0.03252744;29387.731069544632;954.9517514416481;3.252744e-05;0.9559076591007488;0.03249491256;954.9708892053159;-;-;Profit!
30;2021-01-02 04:50:00;btcusdt;Buy;Short;0.03252;29367.24;955.0226448000001;3.252e-05;0.9550226448000001;0.03248748;954.0158665605159;29463.097916883282;29223.45312467508;
31;2021-01-02 06:10:00;btcusdt;Buy;Short;0.03248748;29223.45312467508;955.0226448000001;3.248748e-05;0.9493963489188193;0.032454992519999996;958.3153780236603;-;-;Profit!
32;2021-01-02 06:45:00;btcusdt;Buy;Long;0.03264;29356.34;958.1909376000001;3.2640000000000006e-05;0.9581909376000002;0.03260736;957.3571870860602;29278.614626819388;29472.92805977092;
33;2021-01-02 07:20:00;btcusdt;Sell;Long;0.03260736;29472.92805977092;960.0733411235528;3.260736e-05;0.9610343754990518;0.03257475264;960.197781547213;-;-;Profit!
34;2021-01-02 09:25:00;btcusdt;Buy;Short;0.03231;29714.2;960.065802;3.231e-05;0.960065802;0.03227769;959.237715745213;29811.89393915311;29567.65909127034;
35;2021-01-02 09:55:00;btcusdt;Sell;Short;0.03227769;29811.89393915311;960.065802;3.227769e-05;0.9622590708808628;0.03224541231;955.9637252303663;-;-;Loss!
36;2021-01-02 10:15:00;btcusdt;Buy;Short;0.03213;29756.2;956.066706;3.213e-05;0.956066706;0.03209787;955.0076585243664;29854.163824282394;29609.25426357641;
37;2021-01-02 11:00:00;btcusdt;Sell;Short;0.03209787;29854.163824282394;956.066706;3.209787e-05;0.9582550693905192;0.03206577213;951.6184045246105;-;-;Loss!
38;2021-01-02 13:50:00;btcusdt;Buy;Long;0.03198;29756.86;951.6243828;3.198e-05;0.9516243828000001;0.03194802;950.6667801418105;29657.073231804305;29906.540152293543;
39;2021-01-02 14:15:00;btcusdt;Sell;Long;0.03194802;29906.540152293543;954.4992881733609;3.194802e-05;0.9554547429162772;0.03191607198;954.4933098979714;-;-;Profit!
40;2021-01-02 16:25:00;btcusdt;Buy;Short;0.03054;31248.9;954.3414060000001;3.054e-05;0.9543414060000002;0.030509460000000002;953.5389684919713;31516.805847151634;30847.041229272552;
41;2021-01-02 17:40:00;btcusdt;Sell;Short;0.030509460000000002;31516.805847151634;954.3414060000001;3.0509460000000004e-05;0.961560727321439;0.03047895054;945.11307192726;-;-;Loss!
42;2021-01-02 19:05:00;btcusdt;Buy;Short;0.02267;32496.2;736.688854;2.2669999999999998e-05;0.736688854;0.02264733;944.37638307326;32913.06109403929;31870.908358941073;
43;2021-01-02 19:55:00;btcusdt;Sell;Short;0.02264733;32913.06109403929;736.688854;2.264733e-05;0.7453929559068688;0.02262468267;934.8096322698187;-;-;Loss!
44;2021-01-02 21:15:00;btcusdt;Buy;Short;0.02836;32964.93;934.8854148;2.836e-05;0.9348854148;0.028331639999999998;933.8747468550187;33266.10700315416;32513.16449526876;
45;2021-01-02 22:05:00;btcusdt;Buy;Short;0.028331639999999998;32513.16449526876;934.8854148;2.8331639999999998e-05;0.9211512717407362;0.028303308359999998;946.386497491838;-;-;Profit!
46;2021-01-02 23:40:00;btcusdt;Buy;Long;0.01717;31574.66;542.1369122;1.717e-05;0.5421369122;0.01715283;945.8443605796381;31023.536385367075;32401.345421949387;
47;2021-01-03 02:30:00;btcusdt;Sell;Long;0.01715283;32401.345421949387;555.2189950241822;1.715283e-05;0.5557747697939761;0.017135677170000002;959.4685803160202;-;-;Profit!
48;2021-01-03 04:05:00;btcusdt;Buy;Short;0.02943;32606.29;959.6031147000001;2.943e-05;0.9596031147;0.02940057;958.5089772013201;32834.53359508371;32263.924607374436;
49;2021-01-03 04:35:00;btcusdt;Sell;Short;0.02940057;32834.53359508371;959.6031147000001;2.9400570000000002e-05;0.9653540033796104;0.02937116943;951.6693363571375;-;-;Loss!
50;2021-01-03 04:50:00;btcusdt;Buy;Short;0.02903;32786.37;951.7883211000001;2.903e-05;0.9517883211000001;0.02900097;950.7175480360374;32964.40674688676;32519.31487966987;
51;2021-01-03 05:30:00;btcusdt;Buy;Short;0.02900097;32519.31487966987;951.7883211000001;2.900097e-05;0.9430916752458595;0.02897196903;958.1814409615449;-;-;Profit!
52;2021-01-03 08:10:00;btcusdt;Buy;Short;0.02818;34003.46;958.2175028;2.818e-05;0.9582175028000001;0.02815182;957.2232234587449;34303.32396203758;33553.66405694363;
53;2021-01-03 09:20:00;btcusdt;Sell;Short;0.02815182;34303.32396203758;958.2175028;2.8151820000000002e-05;0.9657010015809689;0.028123668180000002;948.5065867245931;-;-;Loss!
54;2021-01-03 10:05:00;btcusdt;Buy;Short;0.02679;34375.25;920.9129475000001;2.6790000000000003e-05;0.9209129475000001;0.026763210000000003;947.5856737770931;34729.26228665059;33844.231570024116;
55;2021-01-03 10:10:00;btcusdt;Buy;Short;0.026763210000000003;33844.231570024116;920.9129475000001;2.6763210000000002e-05;0.9057802767971852;0.026736446790000003;961.6399895663194;-;-;Profit!
56;2021-01-03 13:05:00;btcusdt;Buy;Long;0.02822;34073.59;961.5567097999999;2.8219999999999997e-05;0.9615567097999999;0.02819178;960.6784328565194;33744.03413647853;34567.9237952822;
57;2021-01-03 14:00:00;btcusdt;Sell;Long;0.02819178;34567.9237952822;973.5567713906674;2.819178e-05;0.9745313026933607;0.02816358822;973.6400511569869;-;-;Profit!
58;2021-01-03 14:35:00;btcusdt;Buy;Short;0.02856;34095.58;973.7697648;2.8559999999999998e-05;0.9737697648;0.028531439999999998;972.666281392187;34392.61561076093;33650.02658385861;
59;2021-01-03 16:00:00;btcusdt;Buy;Short;0.028531439999999998;33650.02658385861;973.7697648;2.853144e-05;0.9600837144757669;0.028502908559999998;984.9396549210607;-;-;Profit!
60;2021-01-03 17:55:00;btcusdt;Buy;Long;0.02703;33562.85;907.2038354999999;2.703e-05;0.9072038354999999;0.027002969999999998;984.0324510855606;33198.40809898503;34109.51285152245;
61;2021-01-03 18:45:00;btcusdt;Buy;Long;0.027002969999999998;33198.40809898503;895.5591623267052;2.7002969999999997e-05;0.8964556179446498;0.02697596703;973.294981747766;-;-;Loss!
62;2021-01-03 19:35:00;btcusdt;Buy;Long;0.02402;33065.88;794.2424375999999;2.402e-05;0.7942424375999999;0.02399598;972.500739310166;32660.68458632127;33673.67312051809;
63;2021-01-03 20:15:00;btcusdt;Buy;Long;0.02399598;32660.68458632127;782.9414089855537;2.399598e-05;0.7837251341196735;0.02397198402;961.9939531333198;-;-;Loss!
64;2021-01-03 20:55:00;btcusdt;Buy;Long;0.02688;32796.76;881.5769088000001;2.688e-05;0.8815769088000001;0.02685312;961.1123762245198;32438.93551351242;33333.49672973137;
65;2021-01-03 22:10:00;btcusdt;Sell;Long;0.02685312;33333.49672973137;894.213279315381;2.685312e-05;0.8951083877030841;0.02682626688;974.6303236487007;-;-;Profit!
66;2021-01-03 23:25:00;btcusdt;Buy;Short;0.02895;33663.15;974.5481925;2.895e-05;0.9745481925;0.02892105;973.6557754562008;33940.59209619215;33246.98685571177;
67;2021-01-04 00:05:00;btcusdt;Buy;Short;0.02892105;33246.98685571177;974.5481925;2.892105e-05;0.961537769203383;0.028892128950000002;985.3990884352137;-;-;Profit!
68;2021-01-04 01:30:00;btcusdt;Buy;Long;0.02942;33494.89;985.4196638000001;2.9420000000000003e-05;0.9854196638000001;0.029390580000000003;984.4136687714137;33202.0905275401;33934.089208689846;
69;2021-01-04 01:45:00;btcusdt;Buy;Long;0.029390580000000003;33202.0905275401;974.8528691190927;2.9390580000000005e-05;0.9758286978169097;0.029361189420000003;974.8322937543063;-;-;Loss!
70;2021-01-04 03:05:00;btcusdt;Buy;Long;0.02969;32829.67;974.7129023;2.9690000000000002e-05;0.9747129023;0.029660310000000002;973.8575808520063;32520.59307453733;33293.285388194;
71;2021-01-04 03:45:00;btcusdt;Sell;Long;0.029660310000000002;33293.285388194;986.5016763667722;2.9660310000000002e-05;0.9874891655323045;0.029630649690000004;986.6210678210786;-;-;Profit!
72;2021-01-04 05:35:00;btcusdt;Buy;Short;0.02962;33314.3;986.769566;2.962e-05;0.9867695660000001;0.02959038;985.6342982550785;33532.94684283037;32986.32973575445;
73;2021-01-04 06:00:00;btcusdt;Sell;Short;0.02959038;33532.94684283037;986.769566;2.959038e-05;0.992252639599151;0.02956078962;978.8933057664261;-;-;Loss!
74;2021-01-04 06:20:00;btcusdt;Buy;Short;0.02931;33402.81;979.0363610999999;2.931e-05;0.9790363610999999;0.029280689999999998;977.9142694053261;33608.85068105994;33093.748978410076;
75;2021-01-04 07:00:00;btcusdt;Buy;Short;0.029280689999999998;33093.748978410076;979.0363610999999;2.928069e-05;0.9690078047746421;0.029251409309999997;986.6763830996197;-;-;Profit!
76;2021-01-04 08:20:00;btcusdt;Buy;Long;0.02972;33195.99;986.5848228;2.972e-05;0.9865848227999999;0.02969028;985.6897982768196;32985.71881241894;33511.396781371586;
77;2021-01-04 08:40:00;btcusdt;Buy;Long;0.02969028;32985.71881241894;978.3758723144438;2.969028e-05;0.9793552275419859;0.029660589719999998;978.4674326140635;-;-;Loss!
78;2021-01-04 09:00:00;btcusdt;Buy;Long;0.02956;33100.02;978.4365911999998;2.956e-05;0.9784365911999999;0.029530439999999998;977.4889960228635;32861.8242937524;33457.313559371396;
79;2021-01-04 09:05:00;btcusdt;Buy;Long;0.029530439999999998;32861.8242937524;969.4537064666002;2.9530439999999997e-05;0.9704241305971975;0.029500909559999997;969.4845478806639;-;-;Loss!
80;2021-01-04 10:10:00;btcusdt;Buy;Long;0.02255;32425.57;731.1966035;2.2550000000000003e-05;0.7311966035;0.02252745;968.7533512771638;31995.731050014987;33070.32842497752;
81;2021-01-04 10:35:00;btcusdt;Buy;Long;0.02252745;31995.731050014987;720.0614492112175;2.252745e-05;0.7207822314426602;0.02250492255;958.3493935918813;-;-;Loss!
82;2021-01-04 11:00:00;btcusdt;Buy;Long;0.02469;32045.14;791.1945066;2.469e-05;0.7911945065999999;0.02466531;957.5581990852813;31656.93478981702;32627.44781527447;
83;2021-01-04 11:10:00;btcusdt;Buy;Long;0.02466531;31656.93478981702;780.047282130381;2.466531e-05;0.7808281102406216;0.024640644689999998;947.2021691222623;-;-;Loss!
84;2021-01-04 12:55:00;btcusdt;Buy;Long;0.01028;30279.56;311.2738768;1.028e-05;0.3112738768;0.01026972;946.8908952454622;29358.523995400144;31661.114006899785;
85;2021-01-04 16:00:00;btcusdt;Sell;Long;0.01026972;31661.114006899785;324.82562496319986;1.0269719999999999e-05;0.3251507757389388;0.010259450279999999;960.7539172854621;-;-;Profit!
86;2021-01-04 17:15:00;btcusdt;Buy;Short;0.02819;31820.0;897.0058;2.819e-05;0.8970058;0.02816181;959.856911485462;32160.834559488143;31308.748160767784;
87;2021-01-04 18:05:00;btcusdt;Buy;Short;0.02816181;31308.748160767784;897.0058;2.816181e-05;0.8817110170413918;0.02813364819;973.975124200245;-;-;Profit!
88;2021-01-04 19:05:00;btcusdt;Buy;Long;0.02704;31425.4;849.7428160000001;2.7040000000000002e-05;0.8497428160000001;0.027012960000000003;973.1253813842451;31065.202124196487;31965.696813705275;
89;2021-01-04 19:10:00;btcusdt;Buy;Long;0.027012960000000003;31065.202124196487;838.323899310462;2.7012960000000004e-05;0.8391630623728349;0.026985947040000003;962.5562075107069;-;-;Loss!
90;2021-01-04 20:05:00;btcusdt;Buy;Long;0.02787;31256.99;871.1323113;2.787e-05;0.8711323113;0.02784213;961.685075199407;30911.60787914518;31775.063181282232;
91;2021-01-04 21:40:00;btcusdt;Sell;Long;0.02784213;31775.063181282232;883.8007544116219;2.784213e-05;0.8846854398514735;0.02781428787;975.2246506223289;-;-;Profit!
92;2021-01-04 22:25:00;btcusdt;Buy;Short;0.03108;31379.7;975.281076;3.108e-05;0.975281076;0.03104892;974.2493695463289;31647.93013465178;30977.354798022334;
93;2021-01-04 23:30:00;btcusdt;Buy;Short;0.03104892;30977.354798022334;975.281076;3.104892e-05;0.9618134109354116;0.031017871080000002;986.4677636509288;-;-;Profit!
94;2021-01-05 00:20:00;btcusdt;Buy;Long;0.03152;31297.47;986.4962544;3.152e-05;0.9864962544000001;0.03148848;985.4812673965288;31062.591928507478;31649.787107238786;
95;2021-01-05 01:25:00;btcusdt;Sell;Long;0.03148848;31649.787107238786;995.6070846422158;3.148848e-05;0.9966036883305464;0.03145699152;995.5785938931446;-;-;Profit!
